5,292,257,37,45,2.4,31,7,-3,2,4,2,34
2,92,151,29,28,0.88,30,9,-3,0,2,3,41
1,74,117,28,36,0.93,27,10,-5,0,0,2,64
1,69,97,38,38,0.97,29,14,-1,0,0,2,42
3,126,163,29,31,1.06,51,19,4,2,7,2,51
5,304,332,44,48,2.66,36,13,5,2,4,3,48
2,86,30,22,25,0.86,36,11,4,2,0,2,37
2,78,99,24,37,1.05,26,10,2,2,0,3,56
4,163,168,24,36,1.51,30,15,1,2,2,2,65
3,122,106,18,27,1.25,34,12,5,3,0,2,68
4,181,243,30,32,1.95,44,20,4,0,7,3,73
4,173,197,28,30,1.93,38,21,7,2,7,3,87
5,261,329,17,20,2.35,33,21,8,2,3,2,85
4,199,265,14,30,2.78,31,18,8,2,3,2,84
2,91,88,12,20,1.57,38,18,8,2,0,2,84
0,27,36,16,15,0.38,35,9,0,2,0,2,94
0,31,20,17,19,0.64,41,4,1,4,0,4,58
0,12,14,16,16,0.45,45,3,0,4,2,4,93
1,39,49,16,15,0.61,37,2,0,4,1,3,92
2,81,87,20,15,0.8,28,1,-5,2,1,2,96
1,71,73,18,14,0.73,27,1,-1,1,1,2,77
1,42,44,17,14,0.41,35,1,-4,2,2,3,97
1,65,70,19,20,0.65,36,2,-5,2,1,3,84
1,56,57,16,19,0.57,39,1,-6,2,1,2,65
1,70,36,13,18,0.83,43,3,-2,3,2,2,68
3,134,115,15,27,1.24,36,6,-3,2,3,3,87
3,142,132,19,33,1.47,29,8,-2,2,1,3,66
2,87,73,15,28,1.07,19,6,2,3,0,2,88
1,46,40,9,19,0.73,21,6,3,3,2,2,92
1,44,43,12,18,0.59,39,5,0,3,1,2,96
1,58,46,13,21,0.69,33,6,-2,0,3,2,72
1,73,80,17,30,0.98,28,10,-2,0,2,2,83
2,94,115,27,27,0.97,41,11,0,0,0,3,96
4,158,160,33,31,1.4,32,13,4,2,0,2,66
2,103,117,27,31,1.2,30,15,5,2,0,2,74
3,124,116,28,29,1.34,25,13,7,3,0,3,71
1,53,25,12,28,1.02,25,10,8,3,0,3,77
1,49,48,14,24,0.85,29,12,8,1,2,3,70
2,76,86,17,28,1.14,23,13,9,3,7,2,98
0,34,22,14,19,0.98,27,11,8,4,1,2,96
1,48,46,12,21,0.63,28,8,5,3,1,2,96
2,97,114,26,27,0.95,30,12,2,2,2,3,95
2,85,108,28,28,0.94,34,11,4,2,1,2,88
1,53,81,17,25,0.73,40,13,6,1,0,2,61
2,78,87,18,27,0.81,35,14,6,0,0,3,72
1,48,67,20,25,0.7,39,11,2,2,0,3,71
1,63,80,26,32,0.9,34,11,2,2,0,3,67
1,57,78,17,29,0.74,28,9,4,3,0,3,69
2,86,112,19,34,0.96,31,15,1,2,2,2,73
2,87,122,24,38,1.03,45,16,3,2,2,2,63
2,92,127,27,32,0.97,42,16,5,0,7,2,72
1,71,77,15,24,0.91,29,15,9,3,7,3,65
1,63,88,22,25,0.69,33,13,5,2,3,4,53
1,66,105,22,34,0.76,34,17,3,2,4,4,94
2,74,122,21,39,0.82,35,21,4,2,0,2,57
1,72,116,31,33,0.79,42,23,6,2,7,2,83
1,65,106,24,28,0.93,37,25,12,0,7,2,83
3,113,232,24,42,1.45,46,26,13,2,7,2,92
2,86,175,13,21,0.72,36,20,10,3,1,2,57
2,89,116,23,28,0.92,33,14,8,2,2,4,75
1,69,106,21,39,0.77,34,16,3,0,4,4,100
1,73,110,23,42,0.89,35,19,4,0,0,3,53
2,76,126,26,50,1.04,32,20,6,1,7,2,65
1,60,55,29,30,1.03,27,20,12,3,6,3,63
1,59,52,8,28,1.07,28,20,14,3,7,2,63
1,74,92,14,37,1.36,30,24,11,2,2,2,60
2,94,126,19,34,1.2,36,26,14,2,0,2,65
2,77,95,13,26,0.96,37,25,15,3,0,3,62
3,116,135,15,32,1.25,25,23,16,1,7,3,62
3,114,123,19,31,1.31,39,21,12,2,2,4,65
3,117,128,17,33,1.26,28,18,11,2,1,2,60
2,88,111,31,36,1.05,42,19,11,2,1,2,62
2,77,101,21,37,1.02,39,22,10,2,2,2,75
1,72,97,16,22,0.81,44,22,11,2,1,2,75
1,70,96,16,30,0.71,44,20,9,2,7,2,70
1,72,113,15,32,0.78,47,22,10,0,2,2,72
1,29,72,16,30,0.57,32,19,9,2,0,2,72
1,60,101,24,36,0.79,28,20,11,3,0,3,75
2,90,119,11,38,1.09,30,22,13,2,2,2,73
2,87,126,17,42,1.21,38,25,13,2,2,2,74
2,74,117,23,38,1.15,45,26,14,2,0,2,76
2,104,99,15,50,1.46,24,19,15,3,0,2,66
1,52,34,9,24,0.75,28,19,15,3,2,3,74
0,32,27,6,17,0.45,38,20,13,2,2,3,75
1,66,92,22,23,0.82,56,23,12,2,2,2,76
2,90,96,16,30,0.81,41,20,14,1,0,2,82
1,72,56,9,19,0.77,30,17,14,4,2,3,86
1,71,60,7,17,0.77,32,19,15,7,3,3,83
2,87,80,10,23,0.87,24,21,16,7,1,2,83
1,39,30,8,16,0.5,41,17,12,3,1,3,85
1,55,56,9,18,0.58,36,18,12,1,2,4,90
2,78,60,14,27,0.93,21,17,13,3,6,3,88
1,73,68,13,23,0.85,45,20,13,1,1,2,85
1,63,80,18,33,0.92,37,22,12,2,0,2,88
1,62,99,22,31,0.9,43,23,13,2,2,3,85
1,47,56,12,23,0.77,23,21,16,4,0,2,78
